id	product_type	google_product_category	link	title	description	image_link	price	condition	shipping_weight	upc	ean	jan	isbn	availability	brand	gtin	mpn	identifier_exists
2	Engineered Wood > By Brand > Kahrs > Kahrs Collections > Activity Floors	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/activity-floors/kahrs-hard-maple-30mm-3-strip-heavy-duty-activity-floor.html	Kahrs Hard Maple 30mm 3 strip Heavy Duty Activity Floor	"Kahrs Hard Maple 30mm 3 strip Heavy Duty Activity Floor Town grade. Surface Finish, Satin Lacquer"	http://www.woodfloorshop.co/images/source/kahrs/kahrs-activiy-floor.500.jpg	71.40	new	0					in stock	Kahrs Flooring		303N15AP50KW	TRUE
394	Engineered Wood > By Brand > Kahrs > Kahrs Collections > Activity Floors	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/by-brand/kahrs/kahrs-collections/activity-floors/kahrs-oak-30mm-3-strip-heavy-duty-activity-floor.html	Kahrs Oak 30mm 3 strip Heavy Duty Activity Floor	"Kahrs Oak 30mm 3 strip Heavy Duty Activity FloorTown grade. Surface Finish, Satin Lacquer"	http://www.woodfloorshop.co/images/source/kahrs/kahrs-activiy-floor.500.jpg	65.28	new	0					in stock	Kahrs Flooring		303N19EK50KW	TRUE
9	Engineered Wood > By Brand > Kahrs > Kahrs Collections > American Naturals	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/kahrs-artisan/kahrs-cherry-savannah-floor.html	Kahrs Cherry Savannah 15mm 3-strip satin lacquer floor	"Kahrs Cherry Savannah is a 3 strip 15mm reddish floor with strips selected to provide a subdued, harmonious imression. Satin Lacquer Finish"	http://www.woodfloorshop.co/images/source/kahrs-cherry/cherry-savannah-r.500.jpg	47.94	new	0					in stock	Kahrs Flooring		153N15CH50KW	TRUE
10	Engineered Wood > By Brand > Kahrs > Kahrs Collections > American Naturals	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/kahrs-artisan/kahrs-hard-maple-toronto-floor.html	Kahrs Hard Maple Toronto 3-strip 15mm floor	"Kahrs Hard Maple Toronto is a light 15mm 3 strip engineered floor in North American maple. The strips are selected to provide a subdued, harmonious impression. Satin Lacquer"	http://www.woodfloorshop.co/images/source/kahrs-maple/maple-toronto-r.500.jpg	44.88	new	0					in stock	Kahrs Flooring		153N15AP50KW	TRUE
13	Engineered Wood > By Brand > Kahrs > Kahrs Collections > American Naturals	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/kahrs-artisan/kahrs-walnut-philidelphia-floor.html	Kahrs Walnut Philidelphia 15mm 2-strip satin lacquer floor 	Kahrs Walnut Philadelphia is a rich even toned walnut floor.15mm 2strip floor with a lot of character in the grain. Satin lacquer	http://www.woodfloorshop.co/images/source/kahrs-walnut/walnut-philidelphia-r.500.jpg	89.76	new	0					in stock	Kahrs Flooring		152N55VA50KW	TRUE
14	Engineered Wood > By Brand > Kahrs > Kahrs Collections > American Naturals	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/kahrs-artisan/kahrs-walnut-montreal-floor.html	Kahrs Walnut Montreal 15mm 3-strip satin lacquer floor	Kahrs Walnut Montreal is a rich even toned walnut floor.15mm 3 strip floor with a lot of character in the grain. Satin lacquer	http://www.woodfloorshop.co/images/source/kahrs-walnut/walnut-montreal-r.500.jpg	57.12	new	0					in stock	Kahrs Flooring		153N15VA50KW	TRUE
15	Engineered Wood > By Brand > Kahrs > Kahrs Collections > American Naturals	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/kahrs-artisan/kahrs-walnut-hartford-floor.html	Kahrs Walnut Hartford floor 15mm 3-strip satin lacquer floor	Kahrs Walnut Hartford is a dark brown 15mm 3 strip floor with natural variations in colour and structure. Surface finish - satin lacque	http://www.woodfloorshop.co/images/source/kahrs-walnut/walnut-hartford-p.500.jpg	56.10	new	0					in stock	Kahrs Flooring		153N29VA50KW	TRUE
16	Engineered Wood > By Brand > Kahrs > Kahrs Collections > American Naturals	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/kahrs-artisan/kahrs-walnut-georgia-floor.html	Kahrs Walnut Georgia floor 15mm 2 strip plank	"Kahrs Walnut Georgia engineered floor 15mm 2 strip plank, If you are striving for a more rustic look Here you will finddramatic graining and knotted wood"	http://www.woodfloorshop.co/images/source/kahrs-walnut/Walnut-Georgia-r.500.jpg	90.78	new	0					in stock	Kahrs Flooring		152N8EVAF0KW  0	TRUE
17	Engineered Wood > By Brand > Kahrs > Kahrs Collections > Kahrs Artisan	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/kahrs-artisan/kahrs-oak-artisan-camino.html	Kahrs Oak Artisan Camino 15mm oiled wood floor	"Kahrs Artisan Camino engineered oak floor 15mm 1 strip plank, has been river stone hand scraped, and natural oiled.Kahrs Warranty 30 Years"	http://www.woodfloorshop.co/images/source/kahrs-oak/artisan-oak-camino-r.500.jpg	73.44	new	0					in stock	Kahrs Flooring		151XDDEKFZKW190	TRUE
18	Engineered Wood > By Brand > Kahrs > Kahrs Collections > Kahrs Artisan	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/kahrs-artisan/kahrs-oak-artisan-tan.html	Kahrs Oak Artisan Tan 15mm oiled wood floor	"Kahrs Artisan Tan engineered oak floor 15mm 1 strip plank, has been surface smoked, hand scraped, brushed and natural oiled"	http://www.woodfloorshop.co/images/source/kahrs-oak/artisan-oak-tan-r.500.jpg	75.48	new	0					in stock	Kahrs Flooring		151XCDEKFSKW190	TRUE
19	Engineered Wood > By Brand > Kahrs > Kahrs Collections > Kahrs Artisan	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/kahrs-artisan/kahrs-oak-artisan-earth.html	Kahrs Oak Artisan Earth 15mm oiled wood floor	"Kahrs Artisan Earth engineered oak floor 15mm 1 strip plank, has been carbonised, hand scraped, brushed and natural oiledKahrs Warranty 30 Years"	http://www.woodfloorshop.co/images/source/kahrs-oak/artisan-oak-earth-r.500.jpg	75.48	new	0					in stock	Kahrs Flooring		151XCDEKFCKW190	TRUE
20	Engineered Wood > By Brand > Kahrs > Kahrs Collections > Kahrs Artisan	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/kahrs-artisan/kahrs-oak-artisan-oyster.html	Kahrs Oak Artisan Oyster 15mm white oiled floor	"Kahrs Artisan Oyster engineered oak floor 15mm 1 strip plank, has been brushed, hand scraped, white coloured and natural oiled"	http://www.woodfloorshop.co/images/source/kahrs-oak/artisan-oak-oyster-r.500.jpg	75.48	new	0					in stock	Kahrs Flooring		151XCDEKFVKW190	TRUE
21	Engineered Wood > By Brand > Kahrs > Kahrs Collections > Kahrs Artisan	Hardware > Building Materials > Flooring & Carpet	http://www.woodfloorshop.co/engineered-wood/kahrs-floors/kahrs-collections/kahrs-artisan/kahrs-oak-artisan-straw.html	Kahrs Oak Artisan Straw 15mm oiled wood floor	"Kahrs Oak Artisan Straw engineered wood floor 15mm 1 strip plank, has been brushed, hand scraped and natural oiled"	http://www.woodfloorshop.co/images/source/kahrs-oak/artisan-oak-straw-r.500.jpg	73.44	new	0					in stock	Kahrs Flooring		151XCDEKFZKW190	TRUE
